USER_NAME,AGE,HEIGHT,GENDER,SALE_AMOUNT,LAST_PURCHASE_DATE
Ben Bohi,16,144,F,49160,2019-01-15T13:15:30Z
Steven Ginger,21,144,,50039,2020-10-01T10:15:30Z
Tom Law,31,145,F,28188,2019-11-05T13:15:30Z
 ,46,150,,46171,2019-08-23T01:01:30Z
Vanessa Parker,32,141,F,9183,2020-09-01T13:15:30Z
May King,25,169,F,56111,2020-09-01T13:15:30Z
Steven Law,65,142,,51817,2017-06-08T12:15:30Z
May ,46,160,F,22651,2017-06-08T12:15:30Z
Vanessa Ling,36,145,F,62769,2015-07-15T15:15:30+05:00
May Ginger,21,189,,69493,2020-05-29T21:15:30Z
Ben Tam,80,140,F,67208,2014-02-15T11:14:30+01:00
Ben Fisher,10,177,M,72796,2020-09-01T13:15:30Z
Vanessa ,29,142,F,72095,2020-10-01T10:15:30Z
Ben Fisher,14,186,F,1174,2020-09-01T13:15:30Z
Ben Fisher,23,152,,58188,2014-02-15T11:14:30+01:00
Tommy Chan,31,179,,31384,2020-10-01T10:15:30Z
Tom Law,57,158,M,3162,2020-05-29T21:15:30+08:00
Tom King,14,163,,86442,2019-01-15T13:15:30Z
Tommy Fisher,64,182,,55664,2020-01-25T18:15:30+08:00
Tom Wong,11,152,,75689,2014-02-15T11:14:30Z
Tom Ling,19,183,M,72641,2014-02-15T11:14:30Z
Barry Fisher,74,152,M,30162,2020-05-29T21:15:30Z
 Wong,53,184,M,14785,2014-02-15T11:14:30+01:00
Kenny Bohi,14,166,F,78889,2014-02-15T11:14:30+01:00
John Chan,66,183,M,79212,2020-10-01T10:15:30Z
Steven Wong,29,188,,55962,2020-05-29T21:15:30+08:00
May Ginger,24,149,,53148,2020-10-01T10:15:30Z
Kenny Parker,36,152,,85508,2014-02-15T11:14:30Z
